,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
FIO-ESM-2-0,r1i1p1f1,0.00,-,,-,-,,-,1,2.22,0.08,,0.00,,,,0.19,2.22,,,,,365_day,100.00
FIO-ESM-2-0,r2i1p1f1,0.00,-,,-,-,,-,1,,0.08,,0.00,,,,,,,,,,,
FIO-ESM-2-0,r3i1p1f1,0.00,-,,-,-,,-,1,,0.08,,0.00,,,,,,,,,,,
GFDL-CM4,r1i1p1f1,0.00,ESD,,,ESD,,ESD,0,,,,1.00,0.50,0.87,0.82,,,,,,2222212110.00,,100.00
GFDL-ESM4,r1i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,1.61,0.13,,1.00,,,,,1.61,,,bc dust no3 oa so4 ss,2222222220.00,,100.00
GISS-E2-1-G,r1i1p1f1,0.00,3Dml,,,,,,1,1.80,,,1.00,,,,0.28,1.80,2.72,,,2222101100.00,365_day,250.00
GISS-E2-1-G,r1i1p3f1,0.00,-,-,-,-,-,-,0,,0.05,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r1i1p3f2,0.00,,,,,-,,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r2i1p3f1,0.00,-,,-,-,-,-,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r2i1p3f2,0.00,,,,,-,,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r3i1p3f1,0.00,-,,-,-,-,-,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r3i1p3f2,0.00,,,,,-,,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r4i1p3f1,0.00,-,,-,-,-,-,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-H,r1i1p1f1,0.00,-,,,,,,1,1.93,,,,,,,0.29,1.93,3.11,,,,365_day,250.00
GISS-E2-1-H,r1i1p3f1,0.00,-,-,-,-,-,-,,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-2-G,r1i1p1f1,0.00,Basic,,,,,,0,1.71,,,,,,,,1.71,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,,,,,,,,2,2.55,,,0.00,,,,,2.55,,,,,360_day,
HadGEM3-GC31-LL,r1i1p1f3,0.00,RCM,,RCM,RCM,,RCM,2,,0.00,0.82,0.00,,,,,,5.55,HadGEM,,,,
HadGEM3-GC31-MM,r1i1p1f1,,,,,,,,1,2.58,,,,,,,,2.58,,,,,360_day,
